cat	alias	title	publication	arxiv	doi	pdf	code	mechanism	fit
1	Co-Denoising	Weather-Aware Collaborative Perception With Uncertainty Reduction	IEEE T-ITS 25(12):20059–20072, 2024		10.1109/TITS.2024.3479720	https://faculty.csu.edu.cn/system/resource/tsites/download.jsp?ap=lwyfj&fid=EBFDDF705B354729A00B695D48DDAC26&fl=neEFNnIzIbai&uid=2544		局部点云去噪与全局贝叶斯协作共同降低天气带来的不确定性。	A｜直接天气：雨；最接近“可靠性估计→协作融合”，优先核对贝叶斯更新怎样处理坏邻居。
1	V2X-R	V2X-R: Cooperative LiDAR-4D Radar Fusion with Denoising Diffusion for 3D Object Detection	CVPR 2025:27390–27400	2411.08402		https://openaccess.thecvf.com/content/CVPR2025/papers/Huang_V2X-R_Cooperative_LiDAR-4D_Radar_Fusion_with_Denoising_Diffusion_for_3D_CVPR_2025_paper.pdf	https://github.com/ylwhxht/V2X-R	雷达引导的去噪扩散与多模态协作，补偿退化 LiDAR 表征。	A｜直接天气；适合借鉴条件去噪，但你的纯 LiDAR 系统不能直接获得雷达条件。
1	HRCP	Hybrid Robust Collaborative Perception with LiDAR-4D Radar Fusion under Adverse Weather Conditions	CVPR 2026:24237–24247			https://openaccess.thecvf.com/content/CVPR2026/papers/Yang_Hybrid_Robust_Collaborative_Perception_with_LiDAR-4D_Radar_Fusion_under_Adverse_CVPR_2026_paper.pdf		双向跨模态门控抑制退化特征，再用自适应特征增强补足被抑制区域。	A｜直接天气；“抑噪后缺信息如何补回”与你的可靠性加缺口证据链高度相关。
1	S-AdaFusion-Weather	Perception for Connected Autonomous Vehicles under Adverse Weather Conditions	IROS 2024:3161–3166		10.1109/IROS58592.2024.10801295	https://didymos-xr.eu/wp-content/uploads/2025/01/Perception-for-Connected-Autonomous-Vehicles-under-Adverse-Weather-Conditions.pdf		PointPillars 加空间自适应跨车特征融合，并调整融合层位置。	A｜直接天气：OPV2V 模拟雾；与你的骨干接近，是低成本天气融合对照。
1	Radar-LiDAR-Camera-Weather	4-D Radar Meets LiDAR and Camera: Cooperative Perception under Adverse Weather	CVPR Workshops 2026, DriveX:805–814（非主会）	2606.00416		https://drivex-workshop.github.io/cvpr2026/static/pdf/26_4D_Radar_Meets_LiDAR_and_Ca.pdf	https://url.fzi.de/SlimComm	比较雷达、LiDAR、相机的合作感知与压缩通信，在退化天气下分析模态互补。	B｜直接天气；侧重多模态系统与评估，不等同于纯 LiDAR 接收端融合。
1	V2X-DGW	V2X-DGW: Domain Generalization for Multi-agent Perception under Adverse Weather Conditions	ICRA 2025:974–980	2403.11371	10.1109/ICRA55743.2025.11127945		https://github.com/Baolu1998/V2X-DGW	通过天气增强和对齐学习改善未见天气域泛化，提供 OPV2V-W 实验背景。	B｜直接天气；重要公平基线，主要创新在训练泛化而非通信后融合算子。
1	DenoiseCP-Net	DenoiseCP-Net: Efficient Collective Perception in Adverse Weather via Joint LiDAR-Based 3D Object Detection and Denoising	arXiv 2025；正式发表[待确认]	2507.06976				统一稀疏卷积骨干联合体素去噪和检测，发送前剔除噪声。	B｜直接天气：模拟雨雪雾；与你的 GSPR 前端相关，不能误作接收端融合改进。
1	RSTA	RSTA: Domain-Generalized Adaptive Semantic Communication for Collaborative Perception	arXiv 2026；正式发表[待确认]	2608.00056				可靠性相关的语义通信与域泛化适配，联合考虑感知退化和信道噪声。	B｜天气与无线信道；具体可靠性定义、是否修改接收端和会议状态以全文为准。
2	UECP	UECP: Uncertainty-Enhanced Collaborative Perception	ECCV 2026, Part LXI:111–129	2606.23046			https://github.com/sidiangongyuan/UECP	不确定性感知金字塔、加权下采样和不确定性引导残差融合。	A｜直接接收融合；密度衍生不确定性不等于你的天气回波可靠性，建议替换质量输入并保留其残差结构。
2	CoDynTrust	CoDynTrust: Robust Asynchronous Collaborative Perception via Dynamic Feature Trust Modulus	ICRA 2025	2502.08169			https://github.com/CrazyShout/CoDynTrust	通过动态特征信任结合不确定性和异步状态，调整协作特征的贡献。	A｜异步鲁棒，不自动等于天气鲁棒；适合 q/u、时延和运动风险联合门控。
